Estimate,Est Length,Bill No,Item,Stretch,Length,Mbook,Pages,Date
Main,8000,Bill No. 12,Subgrade,3200-3275,75,17005,38-40,05.08.2025
Main,8000,Bill No. 11,Subgrade,3275-3375,100,17005,26-28,04.07.2025
Main,8000,Bill No. 12,Subgrade,3375-3400,25,17005,38-40,05.08.2025
Main,8000,Bill No. 12,Subgrade,3400-3950,550,17005,38-40,05.08.2025
Main,8000,Bill No. 12,Subgrade,4050-4300,250,17006,31-32,05.05.2025
Main,8000,Bill No. 11,Subgrade,4440-4700,260,17006,21-22,04.07.2025
Main,8000,0,Subgrade,4700-5000,300,0,0,1/0/1900
Main,8000,0,Subgrade,5350-5650,300,0,0,1/0/1900
Main,8000,Bill No. 12,Subgrade,5650-5800,150,17006,31-32,05.05.2025
Main,8000,0,Subgrade,5800-6025,225,0,0,1/0/1900
Main,8000,Bill No. 12,Subgrade,6050-6140,90,17006,31-32,05.05.2025
Main,8000,Bill No. 11,Subgrade,6280-6420,140,17006,21-22,04.07.2025
Main,8000,0,Subgrade,6420-6660,240,0,0,1/0/1900
Main,8000,Bill No. 11,Subgrade,6660-6920,260,17006,21-22,04.07.2025
Main,8000,Bill No. 12,Subgrade,7150-7300,150,17006,31-32,05.05.2025
Main,8000,Bill No. 13,Subgrade,7640-8000,360,17006,39-40,06.09.2025
Main,8000,Bill No. 15,GSB V,620-1000,380,17005,74-75,09.11.2025
Main,8000,Bill No. 14,GSB V,1500-1560,60,17005,54-55,30.09.2025
Main,8000,Bill No. 12,GSB V,1560-1900,340,17005,41-42,08.08.2025
Main,8000,Bill No. 11,GSB V,1900-2270,370,17005,29-30,10.07.2025
Main,8000,Bill No. 14,GSB V,2270-2380,110,17005,54-55,30.09.2025
Main,8000,Bill No. 12,GSB V,2380-2620,240,17005,41-42,08.08.2025
Main,8000,Bill No. 15,GSB V,3150-3200,50,17005,74-75,09.11.2025
Main,8000,Bill No. 12,GSB V,3200-3275,75,17005,41-42,08.08.2025
Main,8000,Bill No. 11,GSB V,3275-3375,100,17005,29-30,10.07.2025
Main,8000,Bill No. 12,GSB V,3375-3950,575,17005,41-42,08.08.2025
Main,8000,Bill No. 12,GSB V,4050-4300,250,17006,33-34,08.08.2025
Main,8000,Bill No. 11,GSB V,4440-4700,260,17006,23-24,10.07.2025
Main,8000,Bill No. 12,GSB V,5650-5800,150,17006,33-34,08.08.2025
Main,8000,Bill No. 12,GSB V,6050-6140,90,17006,33-34,08.08.2025
Main,8000,Bill No. 11,GSB V,6280-6420,140,17006,23-24,10.07.2025
Main,8000,Bill No. 11,GSB V,6660-6920,260,17006,23-24,10.07.2025
Main,8000,Bill No. 12,GSB V,7150-7300,150,17006,33-34,08.08.2025
